Source,Date,Author,Comment
FS2UrMAx494,10-05-2022,Thereal Toon,เป็นวันเล่นเกมที่แบบรุมเร้า โดนลูกหลงบ่อยมาก5
FS2UrMAx494,10-05-2022,maeb,พอพี่อาร์มมาแล้วก็คิดถึงโปรเจคHFX9
FS2UrMAx494,10-05-2022,Foilzz,02:03:04 น้องน้ำ 5 ลั่นมาก
FS2UrMAx494,10-05-2022,Thereal Toon,โอ๊ยย สงสารช็อตหินทับทั้งๆที่เป็นเป็ด หงายเลย 5
FS2UrMAx494,10-05-2022,dino wa,1:41:11 ชอบเสียงหัวเราะมาก5
FS2UrMAx494,10-05-2022,Athpn Chwsk,3:20:00 เป็นน้อง น้องร้องให้อ่ะพี่5 ตาต่อไป โดโด้… แล้วใครจะโหวตกู! 5HBD ย้อนหลังนะฮะ
FS2UrMAx494,10-05-2022,NI INK,ตาสุดท้ายัง. โอ้ยย สงสาร
FS2UrMAx494,10-05-2022,Thianmimie,2:53:12 “เกมเชี่ยไรวะเนี่ย!!” พี่เอก5
FS2UrMAx494,10-05-2022,Kantapon D.,เป็นสตรีมที่ดูแล้วเครียดแทนมาก ทุกอย่างดูจงใจแกล้งจัดๆ พอจังหวะจะฮา จะคัมแบ็ค ก็โดนเล่นอีกตลบ มีจีนี่ลี่ดูจะคอนเทนท์ สุดแล้ว 5
FS2UrMAx494,10-05-2022,JungleCat,57:30 ว่าที่รมต. DE และเวทมนต์ 9ARM มาเยือน
FS2UrMAx494,10-05-2022,Faii Kanokporn,nan
FS2UrMAx494,10-05-2022,Phat T.,พี่เอกเป็นคนดังค่ะพี่ เซเลบ แคนนาเดียนรัวๆ
FS2UrMAx494,10-05-2022,still blue,วันนี้เกมแปกๆรึป่าวพี่ โรลไม่ค่อยคละเลย น่าจะเกมมีปันหานะเนี่ย5
FS2UrMAx494,10-05-2022,𝓦𝓮𝓲𝓷𝓪𝓷༉₊˚,สุขสันต์​วันเกิด​ย้อนหลังค้าบพี่เอกขออวยพรให้พี่มีแต่ความสุขมากๆน้าขอให้สนุกกับชีวิตมากๆแข็งแรงอยู่กับพวกเราชาวด้อมนกอ้วนนานๆน้า❤️
FS2UrMAx494,10-05-2022,kessara dao,2:52:45 ขำไม่ไหวแน้ว53:01:26 ตามประสงค์จินนี่
FS2UrMAx494,10-05-2022,TipNaPA,ผู้พัฒนาเกมเป็ดรักพี่เอกนะ รักแบบแอบหยิกหลัง 5
FS2UrMAx494,10-05-2022,BooBie,3:19:48 หินสไลด์ 5 ศพแบบนัวๆ พี่เอกไม่ได้เล่น
FS2UrMAx494,10-05-2022,zPOP EYEz,2:52:00 ขำน้ำตาไหล5 คอนเทนต์ชีวิต5
FS2UrMAx494,10-05-2022,คนปานกลาง ล่ะมั้ง,นี่มันวันโกหกแห่งชาติหรอคะ กลับมาอ่านคอมเม้นท์ โห เชื่อสนิทใจเลยค่ะ 😂
FS2UrMAx494,10-05-2022,DiDitPerth,เอาซะตามหา time stamp จริง ๆ ไม่เจอเลยนะ 😂😂
FS2UrMAx494,10-05-2022,sadly 1995,หัวเราะจนน้ำตาไหลของจริง5 ไม่ไหวเลยตอนพี่กายกดอะ55555
FS2UrMAx494,10-05-2022,wawiwie×`,"นมพุ่งเลยอ่ะตอนที่บอกว่า""ทุกอย่างมันรุมเร้า"" คือสงสารพี่เอกอ่ะ55🤣"
FS2UrMAx494,10-05-2022,;tothemxxnandneverback,พี่ลองให้คนอื่นเป็นหัวห้องไหมคะ เพราะตอนนี่เล่นกับเพื่อน ก็ไม่ได้เป็นเป็ดตั้งแต่เริ่มยันเลิกเล่น 5 พอให้อีกคนเป็นหัวแทน เขาก็แทบไม่ได้เป็นเป็ดเหมือนกัน อาจจะเกี่ยว5
FS2UrMAx494,10-05-2022,tas KP,พี่เอกครับ ผมก็โดนเรื่องร้ายในชีวิตเหมือนกันครับ ผมแทบยืนไม่ไหว ผมร้องไห้จนแทบไม่มีน้ำตา ผมเสียใจมาก พี่เอก สู้ๆนะครับพี่ อาจจะเจอเรื่องร้ายไม่ พี่เอกคือที่พึ่งทางจิตใจของผมนะครับ
FS2UrMAx494,10-05-2022,B2G,ok เป็นเป็ด
FS2UrMAx494,10-05-2022,TON Kun,พี่เอกครับผมรอดูHorizon ll อยู่นะครับ😬😬
FS2UrMAx494,10-05-2022,Wittha C.,น่าสงสาร🥺
FS2UrMAx494,10-05-2022,6189 End,40:49 พี่เจมส์เห้ยคนเดียว
FS2UrMAx494,10-05-2022,reall pcyy,เราโดนคอมเมนต์แกงง นึกว่าเป็นเป็ดตลอดเกมจริงๆ5 นั่งอยู่
FS2UrMAx494,10-05-2022,Musicskilled FTJ-TH,ฉากที่พี่เอกเป็นครั้งแรก แล้วไปยืนเล่นตรงหิน คือขอโทษนะ อยากโบกพี่เอกสักที รู้ทั้งรู้ว่ามันอันตราย กว่าจะได้เป็นก้ยาก ดันไปยืนเล่นให้หินกลิ้งทับอีก  งงใจจริงๆ5+
FS2UrMAx494,10-05-2022,Methinee Sookdee,ดนหลอกก  สุดจริงง5 เชื่อสนิทใจ5
FS2UrMAx494,10-05-2022,Nattawat Suwanmanee,2:25:00 ร้องแบบสิ้นหวัง
FS2UrMAx494,10-05-2022,tendays pledyleng,ละคือไม่ได้ดูไงเลยเพิ่งมาตามอ่านเม้นแบบเห้ยยเอาวะพี่เอกโคตรสุดพอดูจริง52525256
FS2UrMAx494,10-05-2022,Jariyah Asae,พี่อยาก ความโง่ของพี่
FS2UrMAx494,10-05-2022,Witt NV,🥺
FS2UrMAx494,10-05-2022,ssxmzow_,พี่เอกลองเปลี่ยนชื่อมั้ยคะเผื่อจะได้เป็นห่านกับเค้าบ้าง
FS2UrMAx494,10-05-2022,miant love exo kraaa,หนุโดนแกงตั้งแต่ชื่อคลิปยันคอมเม้น ไอเราก็ดีใจตอนเห็นชื่อสตรีมแต่คิดว่าเอ๊ออาจจะโดนพี่เอกแกง แต่!พออ่านเม้นก่อนคือดีใจมากที่เป็นวันของพี่เอกซักที สรุปเหมือนโดนหลอกซ้ำซ้อน ตอนดูย้อนหลังคือหัวคิ้วขมวดไม่รู้ว่ารอบไหนที่พี่เอกเป็นเป็ดจริงๆบ้างอยากกี๊ด
FS2UrMAx494,10-05-2022,แฟนต้าน้ำเขียว,วงวารพี่เอก เกลือจัดไป ผมว่าผมดวงซวยแล้วนะมาเจอพี่เอกนี่ดวงซวยกว่า 😅
FS2UrMAx494,10-05-2022,msao,ขำความเบาได้เบาน้อง5 นี่พี่เอง55
FS2UrMAx494,10-05-2022,Farfarfahfar,ความสามัคคีช่วงท้ายสตรีมนี่มัน 5
FS2UrMAx494,10-05-2022,Knight D,คุณเอก คือเราว่าคุณเอกอาจจะเซ็งเกมนี้แล้ว เพราะไม่ได้เป็นเป็ดสักที แต่เราชอบดูมากกค่ะ ตลกมาก 5 เล่นบ่อยๆ เถอะนะคะ
FS2UrMAx494,10-05-2022,Ayahc,พี่อย่าลืมไปทำบุญนะ5
FS2UrMAx494,10-05-2022,Janfsanes Ch,คือ พี่เอก ไม่ค่อยได้เป็นเป็ด เพราะไม่ได้ทำเควสเพราะเวลาทำเควสทีไร ตายทุกที 5
FS2UrMAx494,10-05-2022,thisisly,สตรีมนี้หนักหน่วงจริงๆ 5 สุขสันต์วันเกิดย้อนหลังน้าพี่เหยก 🎂 ขอบคุณที่มาเป็นรอยยิ้มให้นะค้าบ 
FS2UrMAx494,10-05-2022,ANRET NTW,เพ่ก เป็ดทุกเกมจริง พี่เท่ม้าาก 😍
FS2UrMAx494,10-05-2022,S T E z,พี่อาร์มมารอบเดียวเป็นเยอะกว่าพี่เอกไลฟ์ทั้งเดือนอะ 5
FS2UrMAx494,10-05-2022,Z name,ไลฟ์นี้คือนิยามของคำว่าสู้ชีวิตแต่ชีวิตสู้กลับที่แท้
FS2UrMAx494,10-05-2022,wasu weeranun,ติดตามมาตั้งนานเพิ่งรู้ว่าพี่เอกเพิ่งเข้าเลข3 อายุน้อยกว่าผม 5 แต่ไหนๆก็เรียกพี่มาตั้งหลายปี ขอเรียกพี่ต่อไปละกันนะฮ้าฟ 
FS2UrMAx494,10-05-2022,ภานุวัฒน์ เขียวไสว,อยากดูเกมghostwire tokyo คับ
FS2UrMAx494,10-05-2022,Manatchanok T.,Bad day จริงๆ อยากเป็นห่านก็ไม่ได้เป็น เป็นแต่เป็ดเนี่ย ฆ่าไม่พักเลย 🔥
FS2UrMAx494,10-05-2022,nnruethei,ชอบตอนพี่ลี่ลากศพมาก จีนี่จ๋า 5
FS2UrMAx494,10-05-2022,Pawarund Techa,เป็ด
FS2UrMAx494,10-05-2022,Porntida Rodthong,เล่นบ่อยๆนะฮะ
FS2UrMAx494,10-05-2022,Clementine 1999,ชุดมีครบเเต่ไม่ได้เป็นเป็ด5
FS2UrMAx494,10-05-2022,TheNull,ใช้กรรมเป็นเป็ดเมื่อคลิปที่แล้วหมดรึเปล่า คลิปนี้กรรมหมดโปร เลยขาวสะอาดทั้งคลิป 😂
FS2UrMAx494,10-05-2022,Yuu,เห็นเม้นว่สเป็นเป็ดเยอะนี่ดีใจมากได้ดูพี่เล่นเป็ดสรุป.. โดนแกง56565อ้ย
